Dates,1,2,3,4,5,6,7,8
1979-03-23,23.102,23.102,23.102,23.102,23.102,23.102,23.102,23.102
1979-03-24,22.484,22.484,22.484,22.484,22.484,22.484,22.484,22.484
1979-03-25,22.052,22.052,22.052,22.052,22.052,22.052,22.052,22.052
1979-03-26,22.155,22.155,22.155,22.155,22.155,22.155,22.155,22.155
1979-03-27,22.984,22.984,22.984,22.984,22.984,22.984,22.984,22.984
1979-03-28,24.269,24.269,24.269,24.269,24.269,24.269,24.269,24.269
1979-03-29,23.767,23.767,23.767,23.767,23.767,23.767,23.767,23.767
1979-03-30,23.156,23.156,23.156,23.156,23.156,23.156,23.156,23.156
1979-03-31,23.725,23.725,23.725,23.725,23.725,23.725,23.725,23.725
1979-04-01,23.497,23.497,23.497,23.497,23.497,23.497,23.497,23.497
1979-04-02,23.224,23.224,23.224,23.224,23.224,23.224,23.224,23.224
1979-04-03,22.048,22.048,22.048,22.048,22.048,22.048,22.048,22.048
1979-04-04,22.891,22.891,22.891,22.891,22.891,22.891,22.891,22.891
1979-04-05,22.114,22.114,22.114,22.114,22.114,22.114,22.114,22.114
1979-04-06,21.723,21.723,21.723,21.723,21.723,21.723,21.723,21.723
1979-04-07,23.226,23.226,23.226,23.226,23.226,23.226,23.226,23.226
1979-04-08,23.49,23.49,23.49,23.49,23.49,23.49,23.49,23.49
1979-04-09,21.997,21.997,21.997,21.997,21.997,21.997,21.997,21.997
1979-04-10,23.445,23.445,23.445,23.445,23.445,23.445,23.445,23.445
1979-04-11,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04
1979-04-12,23.539,23.539,23.539,23.539,23.539,23.539,23.539,23.539
1979-04-13,24.097,24.097,24.097,24.097,24.097,24.097,24.097,24.097
1979-04-14,23.074,23.074,23.074,23.074,23.074,23.074,23.074,23.074
1979-04-15,25.67,25.67,25.67,25.67,25.67,25.67,25.67,25.67
1979-04-16,23.718,23.718,23.718,23.718,23.718,23.718,23.718,23.718
1979-04-17,23.153,23.153,23.153,23.153,23.153,23.153,23.153,23.153
1979-04-18,22.62,22.62,22.62,22.62,22.62,22.62,22.62,22.62
1979-04-19,22.56,22.56,22.56,22.56,22.56,22.56,22.56,22.56
1979-04-20,23.047,23.047,23.047,23.047,23.047,23.047,23.047,23.047
1979-04-21,23.033,23.033,23.033,23.033,23.033,23.033,23.033,23.033
1979-04-22,22.232,22.232,22.232,22.232,22.232,22.232,22.232,22.232
1979-04-23,20.695,20.695,20.695,20.695,20.695,20.695,20.695,20.695
1979-04-24,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01
1979-04-25,20.56,20.56,20.56,20.56,20.56,20.56,20.56,20.56
1979-04-26,22.762,22.762,22.762,22.762,22.762,22.762,22.762,22.762
1979-04-27,24.169,24.169,24.169,24.169,24.169,24.169,24.169,24.169
1979-04-28,21.429,21.429,21.429,21.429,21.429,21.429,21.429,21.429
1979-04-29,21.348,21.348,21.348,21.348,21.348,21.348,21.348,21.348
1979-04-30,20.534,20.534,20.534,20.534,20.534,20.534,20.534,20.534
